CMDLINE /media/fox/application/python3/venv_3_12/bin/python3 test_memory.py
MEM 4721.453125 1771676144.9938
MEM 4721.453125 1771676145.1064
MEM 4721.453125 1771676145.2198
MEM 4721.453125 1771676145.3335
MEM 4721.453125 1771676145.4461
MEM 4721.453125 1771676145.5588
MEM 4721.453125 1771676145.6715
MEM 4721.453125 1771676145.7839
MEM 4721.453125 1771676145.8962
MEM 4721.453125 1771676146.0097
MEM 4721.453125 1771676146.1221
MEM 4721.453125 1771676146.2344
MEM 4721.453125 1771676146.3532
MEM 4721.453125 1771676146.4787
MEM 4721.453125 1771676146.6049
MEM 4721.453125 1771676146.7325
MEM 4721.453125 1771676146.8562
MEM 4721.453125 1771676146.9800
MEM 4721.453125 1771676147.1042
MEM 4721.453125 1771676147.2272
MEM 4721.453125 1771676147.3485
MEM 4721.453125 1771676147.4613
MEM 4721.453125 1771676147.5775
MEM 4721.453125 1771676147.7282
MEM 4721.453125 1771676147.8507
MEM 4721.453125 1771676147.9638
MEM 4721.453125 1771676148.0792
MEM 4721.453125 1771676148.2028
MEM 4721.453125 1771676148.3172
MEM 4721.453125 1771676148.4318
MEM 4721.453125 1771676148.5445
MEM 4721.453125 1771676148.6571
MEM 4721.453125 1771676148.7697
MEM 4721.453125 1771676148.8992
MEM 4721.453125 1771676149.0211
MEM 4721.453125 1771676149.1453
MEM 4721.453125 1771676149.2670
MEM 4721.453125 1771676149.3869
MEM 4721.453125 1771676149.5005
MEM 4721.453125 1771676149.6202
MEM 4721.453125 1771676149.7547
MEM 4721.453125 1771676149.8712
MEM 4721.453125 1771676149.9990
MEM 4721.453125 1771676150.1153
MEM 4721.453125 1771676150.2380
MEM 4721.453125 1771676150.3605
MEM 4721.453125 1771676150.5009
MEM 4721.453125 1771676150.6587
MEM 4721.453125 1771676150.7821
MEM 4721.453125 1771676150.9032
MEM 4721.453125 1771676151.0238
MEM 4721.453125 1771676151.1472
MEM 4721.453125 1771676151.2722
MEM 4721.453125 1771676151.3888
MEM 4721.453125 1771676151.5119
MEM 4721.453125 1771676151.6246
MEM 4721.453125 1771676151.7381
MEM 4721.453125 1771676151.8532
MEM 4721.453125 1771676151.9701
MEM 4721.453125 1771676152.0834
MEM 4721.453125 1771676152.1960
MEM 4721.453125 1771676152.3086
MEM 4721.453125 1771676152.4211
MEM 4721.453125 1771676152.5335
MEM 4721.453125 1771676152.6483
MEM 4721.453125 1771676152.7616
MEM 4721.453125 1771676152.8750
MEM 4721.453125 1771676152.9885
MEM 4721.453125 1771676153.1033
MEM 4721.453125 1771676153.2159
MEM 4721.453125 1771676153.3297
MEM 4721.453125 1771676153.4425
MEM 4721.453125 1771676153.5551
MEM 4721.453125 1771676153.6674
MEM 4721.453125 1771676153.7804
MEM 4721.453125 1771676153.8936
MEM 4721.453125 1771676154.0088
MEM 4721.453125 1771676154.1308
MEM 4721.453125 1771676154.2432
MEM 4721.453125 1771676154.3586
MEM 4721.453125 1771676154.4770
MEM 4721.453125 1771676154.5985
MEM 4721.453125 1771676154.7201
MEM 4721.453125 1771676154.8412
MEM 4432.812500 1771676154.9628
MEM 3083.308594 1771676155.0821
MEM 1623.402344 1771676155.1945
MEM 172.347656 1771676155.3071
